Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U3         SOIC-8_-_N_-_Power_Pad        43.5mm        92.7mm        43.5mm        92.7mm      45.405mm     95.5001mm  T        180.00 TPS5431        
C26        SM/C_1206              58.6mm        39.1mm        58.6mm        39.1mm      56.949mm        39.1mm  T        360.00 10uF           
C25        SM/C_0603                50mm        51.3mm          50mm        51.3mm          50mm     50.5888mm  B         90.00 100nF          
C24        SM/C_0603                38mm        50.5mm          38mm        50.5mm     38.7112mm        50.5mm  B        180.00 100nF          
C23        SM/C_1206              38.1mm          52mm        38.1mm          52mm      39.751mm          52mm  B        180.00 10uF           
C22        SM/C_0603              30.7mm        40.2mm        30.7mm        40.2mm        30.7mm     39.4888mm  T         90.00 100nF          
C21        SM/C_0603              30.7mm          44mm        30.7mm          44mm        30.7mm     44.7112mm  T        270.00 100nF          
C20        SM/C_0603              30.5mm        29.5mm        30.5mm        29.5mm        30.5mm     30.2112mm  T        270.00 100nF          
C19        SM/C_1206              28.9mm        41.5mm        28.9mm        41.5mm        28.9mm      39.849mm  T         90.00 10uF           
C18        SM/C_0603              49.7mm        23.9mm        49.7mm        23.9mm     48.9888mm        23.9mm  T        360.00 100nF          
C17        SM/C_0603              42.6mm        25.8mm        42.6mm        25.8mm        42.6mm     25.0888mm  B         90.00 100nF          
C16        SM/C_0603              45.1mm        25.8mm        45.1mm        25.8mm        45.1mm     25.0888mm  B         90.00 100nF          
C15        SM/C_1206              39.1mm        25.6mm        39.1mm        25.6mm        39.1mm      23.949mm  B         90.00 10uF           
C14        SM/C_0603              26.2mm        36.7mm        26.2mm        36.7mm     25.4888mm        36.7mm  T        360.00 10nF           
C13        SM/C_1210              32.6mm        86.2mm        32.6mm        86.2mm     34.3145mm        86.2mm  T        180.00 4.7uF          
C12        SM/C_0805              34.8mm       113.9mm        34.8mm       113.9mm     33.7332mm       113.9mm  T        360.00 10nF           
C11        SM/C_0805              38.8mm       113.9mm        38.8mm       113.9mm     39.8668mm       113.9mm  T        180.00 2.2uF          
C10        SM/C_0805              38.8mm       112.2mm        38.8mm       112.2mm     39.8668mm       112.2mm  T        180.00 22uF           
C9         SM/C_0805              38.4mm        41.4mm        38.4mm        41.4mm        38.4mm     42.4668mm  B        270.00 2.2uF          
C8         SM/C_0805              40.6mm       121.1mm        40.6mm       121.1mm        40.6mm    122.1668mm  T        270.00 4.7uF          
C7         SM/C_0603              44.8mm          42mm        44.8mm          42mm        44.8mm     42.7112mm  B        270.00 100nF          
C6         SM/C_1210              43.4mm        86.3mm        43.4mm        86.3mm     45.1145mm        86.3mm  T        180.00 4.7uF          
C5         SM/C_1206              43.4mm        82.8mm        43.4mm        82.8mm      45.051mm        82.8mm  T        180.00 10uF           
C4         SM/CT_7343_12_D        45.9mm        99.4mm        45.9mm        99.4mm      49.202mm        99.4mm  T        180.00 220uF          
C3         SM/C_0603              47.6mm        96.1mm        47.6mm        96.1mm     46.8888mm        96.1mm  T        360.00 10nF           
C2         SM/C_0603              77.6mm        27.4mm        77.6mm        27.4mm     78.3112mm        27.4mm  T        180.00 100nF          
C1         SM/C_0603              44.5mm       147.3mm        44.5mm       147.3mm     43.7888mm       147.3mm  B        360.00 100nF          
J1         SSM-120                  54mm        11.5mm          54mm        11.5mm       78.13mm      14.325mm  B        360.00 SSM-120-L-DV   
J2         TSM-120-04-L-DV          54mm        11.5mm          54mm        11.5mm       78.13mm      13.975mm  T        360.00 TSM-120-01-L-DV
J4         CUI_SDS-50J_MiniDIN        9.25mm         117mm          13mm       109.5mm          13mm       109.5mm  T        270.00 MIDI_JACK_5P   
J5         CUI_SDS-50J_MiniDIN        9.25mm          94mm          13mm        86.5mm          13mm        86.5mm  T        270.00 MIDI_JACK_5P   
J6         MALE_BOX_HEADER_2MM_14P       103.5mm        19.6mm       103.5mm        19.6mm       102.5mm        25.6mm  T        270.00 HEADER_14      
J7         CON_JACK_3.5MM_SMD_Switchcraft_35RASMT2BHNTRX       100.7mm          72mm      104.25mm          72mm      103.45mm       67.95mm  T        180.00 Jack-3.5mm     
J8         NSJ12HF-1            96.675mm     102.015mm         100mm         109mm     103.174mm      107.73mm  T        360.00 NSJ12HF-1      
J9         NSJ12HF-1            96.675mm     142.015mm         100mm         149mm     103.174mm      147.73mm  T        360.00 NSJ12HF-1      
J10        NSJ12HF-1            96.675mm     122.015mm         100mm         129mm     103.174mm      127.73mm  T        360.00 NSJ12HF-1      
J11        NSJ12HF-1            11.825mm     141.485mm         8.5mm       134.5mm       5.326mm      135.77mm  T        180.00 NSJ12HF-1      
J12        CON_JACK_3.5MM_SMD_Switchcraft_35RASMT2BHNTRX       100.7mm          85mm      104.25mm          85mm      103.45mm       80.95mm  T        180.00 Jack-3.5mm     
D5         APFA3010              106.1mm        46.4mm       106.1mm        46.4mm       106.3mm        47.9mm  T        270.00 APFA3010SEEZGQBDC
